"geo_code";"geo_nom";"cs1";"effectif_43plus";"effectif_55plus";"part_55plus_pct";"departs_55plus";"perte_seniors_pct";"sous_seuil"
"64";"Pyrénées-Atlantiques";"Cadres";84;33;39,3;22,8;27,2;FALSE
"69";"Rhône";"Prof. intermediaires";76;24;31,6;20,6;27;FALSE
"35";"Ille-et-Vilaine";"Employes";45;13;28,9;12;26,6;FALSE
"69";"Rhône";"Cadres";67;28;41,8;17,7;26,4;FALSE
"33";"Gironde";"Cadres";64;22;34,4;16,8;26,2;FALSE
"78";"Yvelines";"Ouvriers";77;20;26;19,7;25,5;FALSE
"44";"Loire-Atlantique";"Cadres";75;25;33,3;19,1;25,5;FALSE
"03";"Allier";"Ouvriers";91;24;26,4;23,1;25,4;FALSE
"2A";"Corse-du-Sud";"Employes";58;15;25,9;14,4;24,8;FALSE
"93";"Seine-Saint-Denis";"Ouvriers";70;18;25,7;17,3;24,7;FALSE
"75";"Paris";"Ouvriers";88;22;25;21,1;24;FALSE
"18";"Cher";"Cadres";69;22;31,9;16,5;24;FALSE
"44";"Loire-Atlantique";"Employes";72;20;27,8;17,2;23,9;FALSE
"2B";"Haute-Corse";"Cadres";75;22;29,3;17,8;23,7;FALSE
"2A";"Corse-du-Sud";"Ouvriers";79;19;24,1;18,2;23;FALSE
"93";"Seine-Saint-Denis";"Employes";51;13;25,5;11,5;22,5;FALSE
"56";"Morbihan";"Prof. intermediaires";62;16;25,8;13,8;22,3;FALSE
"2A";"Corse-du-Sud";"Cadres";62;20;32,3;13,6;21,9;FALSE
"09";"Ariège";"Cadres";84;24;28,6;18,3;21,8;FALSE
"59";"Nord";"Cadres";71;21;29,6;15,3;21,5;FALSE
"91";"Essonne";"Ouvriers";70;16;22,9;15;21,4;FALSE
"93";"Seine-Saint-Denis";"Prof. intermediaires";57;15;26,3;12,2;21,3;FALSE
"33";"Gironde";"Prof. intermediaires";76;18;23,7;15,9;20,9;FALSE
"56";"Morbihan";"Employes";51;11;21,6;10,5;20,6;FALSE
"78";"Yvelines";"Prof. intermediaires";74;17;23;15;20,2;FALSE
"01";"Ain";"Cadres";72;21;29,2;14,1;19,6;FALSE
"03";"Allier";"Employes";46;10;21,7;9;19,6;FALSE
"75";"Paris";"Cadres";74;20;27;14,1;19;FALSE
"91";"Essonne";"Cadres";60;13;21,7;10,9;18,1;FALSE
"86";"Vienne";"Ouvriers";63;12;19;11,3;18;FALSE
"2A";"Corse-du-Sud";"Prof. intermediaires";71;14;19,7;12,7;17,9;FALSE
"87";"Haute-Vienne";"Cadres";80;22;27,5;14,1;17,7;FALSE
"03";"Allier";"Prof. intermediaires";65;13;20;11,2;17,3;FALSE
"56";"Morbihan";"Cadres";68;16;23,5;11,7;17,2;FALSE
"91";"Essonne";"Employes";43;8;18,6;7;16,4;FALSE
"35";"Ille-et-Vilaine";"Cadres";58;14;24,1;9,4;16,3;FALSE
"86";"Vienne";"Employes";44;7;15,9;6,8;15,6;FALSE
"56";"Morbihan";"Ouvriers";70;11;15,7;10,7;15,2;FALSE
"93";"Seine-Saint-Denis";"Cadres";66;14;21,2;9,8;14,9;FALSE
"03";"Allier";"Cadres";72;12;16,7;9,7;13,5;FALSE
"86";"Vienne";"Prof. intermediaires";61;9;14,8;8,1;13,3;FALSE
"86";"Vienne";"Cadres";67;11;16,4;7,8;11,6;FALSE
"91";"Essonne";"Prof. intermediaires";66;9;13,6;7,3;11,1;FALSE
